"text","chapter","chapter-title"
"solution meets the other resource constraints.","chapter-1","Data Structures and Algorithms"
"It should go without saying that people write programs to solve problems. How-","chapter-1","Data Structures and Algorithms"
"ever, it is crucial to keep this truism in mind when selecting a data structure to solve","chapter-1","Data Structures and Algorithms"
"a particular problem. Only by first analyzing the problem to determine the perfor-","chapter-1","Data Structures and Algorithms"
"mance goals that must be achieved can there be any hope of selecting the right data","chapter-1","Data Structures and Algorithms"
"structure for the job. Poor program designers ignore this analysis step and apply a","chapter-1","Data Structures and Algorithms"
"data structure that they are familiar with but which is inappropriate to the problem.","chapter-1","Data Structures and Algorithms"
"The result is typically a slow program. Conversely, there is no sense in adopting","chapter-1","Data Structures and Algorithms"
"a complex representation to “improve” a program that can meet its performance","chapter-1","Data Structures and Algorithms"
"goals when implemented using a simpler design.","chapter-1","Data Structures and Algorithms"
"When selecting a data structure to solve a problem, you should follow these","chapter-1","Data Structures and Algorithms"
"steps.","chapter-1","Data Structures and Algorithms"
"1. Analyze your problem to determine the basic operations that must be sup-","chapter-1","Data Structures and Algorithms"
"ported. Examples of basic operations include inserting a data item into the","chapter-1","Data Structures and Algorithms"
"data structure, deleting a data item from the data structure, and finding a","chapter-1","Data Structures and Algorithms"
"specified data item.","chapter-1","Data Structures and Algorithms"
"2. Quantify the resource constraints for each operation.","chapter-1","Data Structures and Algorithms"
"3. Select the data structure that best meets these requirements.","chapter-1","Data Structures and Algorithms"
"This three-step approach to selecting a data structure operationalizes a data-","chapter-1","Data Structures and Algorithms"
"centered view of the design process. The first concern is for the data and the op-","chapter-1","Data Structures and Algorithms"
"erations to be performed on them, the next concern is the representation for those","chapter-1","Data Structures and Algorithms"
"data, and the final concern is the implementation of that representation.","chapter-1","Data Structures and Algorithms"
"Resource constraints on certain key operations, such as search, inserting data","chapter-1","Data Structures and Algorithms"
"records, and deleting data records, normally drive the data structure selection pro-","chapter-1","Data Structures and Algorithms"
"cess. Many issues relating to the relative importance of these operations are ad-","chapter-1","Data Structures and Algorithms"
"dressed by the following three questions, which you should ask yourself whenever","chapter-1","Data Structures and Algorithms"
"you must choose a data structure:","chapter-1","Data Structures and Algorithms"
"6 Chap. 1 Data Structures and Algorithms","chapter-1","Data Structures and Algorithms"
"• Are all data items inserted into the data structure at the beginning, or are","chapter-1","Data Structures and Algorithms"
"insertions interspersed with other operations? Static applications (where the","chapter-1","Data Structures and Algorithms"
"data are loaded at the beginning and never change) typically require only","chapter-1","Data Structures and Algorithms"
"simpler data structures to get an efficient implementation than do dynamic","chapter-1","Data Structures and Algorithms"
"applications.","chapter-1","Data Structures and Algorithms"
"• Can data items be deleted? If so, this will probably make the implementation","chapter-1","Data Structures and Algorithms"
"more complicated.","chapter-1","Data Structures and Algorithms"
"• Are all data items processed in some well-defined order, or is search for spe-","chapter-1","Data Structures and Algorithms"
"cific data items allowed? “Random access” search generally requires more","chapter-1","Data Structures and Algorithms"
"complex data structures.","chapter-1","Data Structures and Algorithms"
"Each data structure has associated costs and benefits. In practice, it is hardly ever","chapter-1","Data Structures and Algorithms"
"true that one data structure is better than another for use in all situations. If one","chapter-1","Data Structures and Algorithms"
"data structure or algorithm is superior to another in all respects, the inferior one","chapter-1","Data Structures and Algorithms"
"will usually have long been forgotten. For nearly every data structure and algorithm","chapter-1","Data Structures and Algorithms"
"presented in this book, you will see examples of where it is the best choice. Some","chapter-1","Data Structures and Algorithms"
"of the examples might surprise you.","chapter-1","Data Structures and Algorithms"
"A data structure requires a certain amount of space for each data item it stores,","chapter-1","Data Structures and Algorithms"
"a certain amount of time to perform a single basic operation, and a certain amount","chapter-1","Data Structures and Algorithms"
"of programming effort. Each problem has constraints on available space and time.","chapter-1","Data Structures and Algorithms"
"Each solution to a problem makes use of the basic operations in some relative pro-","chapter-1","Data Structures and Algorithms"
"portion, and the data structure selection process must account for this. Only after a","chapter-1","Data Structures and Algorithms"
"careful analysis of your problem’s characteristics can you determine the best data","chapter-1","Data Structures and Algorithms"
"structure for the task.","chapter-1","Data Structures and Algorithms"
"Example 1.1 A bank must support many types of transactions with its","chapter-1","Data Structures and Algorithms"
"customers, but we will examine a simple model where customers wish to","chapter-1","Data Structures and Algorithms"
"open accounts, close accounts, and add money or withdraw money from","chapter-1","Data Structures and Algorithms"
"accounts. We can consider this problem at two distinct levels: (1) the re-","chapter-1","Data Structures and Algorithms"
"quirements for the physical infrastructure and workflow process that the","chapter-1","Data Structures and Algorithms"
"bank uses in its interactions with its customers, and (2) the requirements","chapter-1","Data Structures and Algorithms"
"for the database system that manages the accounts.","chapter-1","Data Structures and Algorithms"
"The typical customer opens and closes accounts far less often than he","chapter-1","Data Structures and Algorithms"
"or she accesses the account. Customers are willing to wait many minutes","chapter-1","Data Structures and Algorithms"
"while accounts are created or deleted but are typically not willing to wait","chapter-1","Data Structures and Algorithms"
"more than a brief time for individual account transactions such as a deposit","chapter-1","Data Structures and Algorithms"
"or withdrawal. These observations can be considered as informal specifica-","chapter-1","Data Structures and Algorithms"
"tions for the time constraints on the problem.","chapter-1","Data Structures and Algorithms"
"It is common practice for banks to provide two tiers of service. Hu-","chapter-1","Data Structures and Algorithms"
"man tellers or automated teller machines (ATMs) support customer access","chapter-1","Data Structures and Algorithms"
"Sec. 1.1 A Philosophy of Data Structures 7","chapter-1","Data Structures and Algorithms"
"to account balances and updates such as deposits and withdrawals. Spe-","chapter-1","Data Structures and Algorithms"
"cial service representatives are typically provided (during restricted hours)","chapter-1","Data Structures and Algorithms"
"to handle opening and closing accounts. Teller and ATM transactions are","chapter-1","Data Structures and Algorithms"
"expected to take little time. Opening or closing an account can take much","chapter-1","Data Structures and Algorithms"
"longer (perhaps up to an hour from the customer’s perspective).","chapter-1","Data Structures and Algorithms"
"From a database perspective, we see that ATM transactions do not mod-","chapter-1","Data Structures and Algorithms"
"ify the database significantly. For simplicity, assume that if money is added","chapter-1","Data Structures and Algorithms"
"or removed, this transaction simply changes the value stored in an account","chapter-1","Data Structures and Algorithms"
"record. Adding a new account to the database is allowed to take several","chapter-1","Data Structures and Algorithms"
"minutes. Deleting an account need have no time constraint, because from","chapter-1","Data Structures and Algorithms"
"the customer’s point of view all that matters is that all the money be re-","chapter-1","Data Structures and Algorithms"
"turned (equivalent to a withdrawal). From the bank’s point of view, the","chapter-1","Data Structures and Algorithms"
"account record might be removed from the database system after business","chapter-1","Data Structures and Algorithms"
"hours, or at the end of the monthly account cycle.","chapter-1","Data Structures and Algorithms"
"When considering the choice of data structure to use in the database","chapter-1","Data Structures and Algorithms"
"system that manages customer accounts, we see that a data structure that","chapter-1","Data Structures and Algorithms"
"has little concern for the cost of deletion, but is highly efficient for search","chapter-1","Data Structures and Algorithms"
"and moderately efficient for insertion, should meet the resource constraints","chapter-1","Data Structures and Algorithms"
"imposed by this problem. Records are accessible by unique account number","chapter-1","Data Structures and Algorithms"
"(sometimes called an exact-match query). One data structure that meets","chapter-1","Data Structures and Algorithms"
"these requirements is the hash table described in Chapter 9.4. Hash tables","chapter-1","Data Structures and Algorithms"
"allow for extremely fast exact-match search. A record can be modified","chapter-1","Data Structures and Algorithms"
"quickly when the modification does not affect its space requirements. Hash","chapter-1","Data Structures and Algorithms"
"tables also support efficient insertion of new records. While deletions can","chapter-1","Data Structures and Algorithms"
"also be supported efficiently, too many deletions lead to some degradation","chapter-1","Data Structures and Algorithms"
"in performance for the remaining operations. However, the hash table can","chapter-1","Data Structures and Algorithms"
"be reorganized periodically to restore the system to peak efficiency. Such","chapter-1","Data Structures and Algorithms"
"reorganization can occur offline so as not to affect ATM transactions.","chapter-1","Data Structures and Algorithms"
"Example 1.2 A company is developing a database system containing in-","chapter-1","Data Structures and Algorithms"
"formation about cities and towns in the United States. There are many","chapter-1","Data Structures and Algorithms"
"thousands of cities and towns, and the database program should allow users","chapter-1","Data Structures and Algorithms"
"to find information about a particular place by name (another example of","chapter-1","Data Structures and Algorithms"
"an exact-match query). Users should also be able to find all places that","chapter-1","Data Structures and Algorithms"
"match a particular value or range of values for attributes such as location or","chapter-1","Data Structures and Algorithms"
"population size. This is known as a range query.","chapter-1","Data Structures and Algorithms"
"A reasonable database system must answer queries quickly enough to","chapter-1","Data Structures and Algorithms"
"satisfy the patience of a typical user. For an exact-match query, a few sec-","chapter-1","Data Structures and Algorithms"
"onds is satisfactory. If the database is meant to support range queries that","chapter-1","Data Structures and Algorithms"
"can return many cities that match the query specification, the entire opera-","chapter-1","Data Structures and Algorithms"
"8 Chap. 1 Data Structures and Algorithms","chapter-1","Data Structures and Algorithms"
"tion may be allowed to take longer, perhaps on the order of a minute. To","chapter-1","Data Structures and Algorithms"
"meet this requirement, it will be necessary to support operations that pro-","chapter-1","Data Structures and Algorithms"
"cess range queries efficiently by processing all cities in the range as a batch,","chapter-1","Data Structures and Algorithms"
"rather than as a series of operations on individual cities.","chapter-1","Data Structures and Algorithms"
"The hash table suggested in the previous example is inappropriate for","chapter-1","Data Structures and Algorithms"
"implementing our city database, because it cannot perform efficient range","chapter-1","Data Structures and Algorithms"
"queries. The B+-tree of Section 10.5.1 supports large databases, insertion","chapter-1","Data Structures and Algorithms"
"and deletion of data records, and range queries. However, a simple linear in-","chapter-1","Data Structures and Algorithms"
"dex as described in Section 10.1 would be more appropriate if the database","chapter-1","Data Structures and Algorithms"
"is created once, and then never changed, such as an atlas distributed on a","chapter-1","Data Structures and Algorithms"
"CD or accessed from a website.","chapter-1","Data Structures and Algorithms"
"1.2 Abstract Data Types and Data Structures","chapter-1","Data Structures and Algorithms"
"The previous section used the terms “data item” and “data structure” without prop-","chapter-1","Data Structures and Algorithms"
"erly defining them. This section presents terminology and motivates the design","chapter-1","Data Structures and Algorithms"
"process embodied in the three-step approach to selecting a data structure. This mo-","chapter-1","Data Structures and Algorithms"
"tivation stems from the need to manage the tremendous complexity of computer","chapter-1","Data Structures and Algorithms"
"programs.","chapter-1","Data Structures and Algorithms"
"A type is a collection of values. For example, the Boolean type consists of the","chapter-1","Data Structures and Algorithms"
"values true and false. The integers also form a type. An integer is a simple","chapter-1","Data Structures and Algorithms"
"type because its values contain no subparts. A bank account record will typically","chapter-1","Data Structures and Algorithms"
"contain several pieces of information such as name, address, account number, and","chapter-1","Data Structures and Algorithms"
"account balance. Such a record is an example of an aggregate type or composite","chapter-1","Data Structures and Algorithms"
"type. A data item is a piece of information or a record whose value is drawn from","chapter-1","Data Structures and Algorithms"
"a type. A data item is said to be a member of a type.","chapter-1","Data Structures and Algorithms"
"A data type is a type together with a collection of operations to manipulate","chapter-1","Data Structures and Algorithms"
"the type. For example, an integer variable is a member of the integer data type.","chapter-1","Data Structures and Algorithms"
"Addition is an example of an operation on the integer data type.","chapter-1","Data Structures and Algorithms"
"A distinction should be made between the logical concept of a data type and its","chapter-1","Data Structures and Algorithms"
"physical implementation in a computer program. For example, there are two tra-","chapter-1","Data Structures and Algorithms"
"ditional implementations for the list data type: the linked list and the array-based","chapter-1","Data Structures and Algorithms"
"list. The list data type can therefore be implemented using a linked list or an ar-","chapter-1","Data Structures and Algorithms"
"ray. Even the term “array” is ambiguous in that it can refer either to a data type","chapter-1","Data Structures and Algorithms"
"or an implementation. “Array” is commonly used in computer programming to","chapter-1","Data Structures and Algorithms"
"mean a contiguous block of memory locations, where each memory location stores","chapter-1","Data Structures and Algorithms"
"one fixed-length data item. By this meaning, an array is a physical data structure.","chapter-1","Data Structures and Algorithms"
"However, array can also mean a logical data type composed of a (typically ho-","chapter-1","Data Structures and Algorithms"
"mogeneous) collection of data items, with each data item identified by an index","chapter-1","Data Structures and Algorithms"
"number. It is possible to implement arrays in many different ways. For exam-","chapter-1","Data Structures and Algorithms"
"Sec. 1.2 Abstract Data Types and Data Structures 9","chapter-1","Data Structures and Algorithms"
"ple, Section 12.2 describes the data structure used to implement a sparse matrix, a","chapter-1","Data Structures and Algorithms"
"large two-dimensional array that stores only a relatively few non-zero values. This","chapter-1","Data Structures and Algorithms"
"implementation is quite different from the physical representation of an array as","chapter-1","Data Structures and Algorithms"
"contiguous memory locations.","chapter-1","Data Structures and Algorithms"
"An abstract data type (ADT) is the realization of a data type as a software","chapter-1","Data Structures and Algorithms"
"component. The interface of the ADT is defined in terms of a type and a set of","chapter-1","Data Structures and Algorithms"
"operations on that type. The behavior of each operation is determined by its inputs","chapter-1","Data Structures and Algorithms"
"and outputs. An ADT does not specify how the data type is implemented. These","chapter-1","Data Structures and Algorithms"
"implementation details are hidden from the user of the ADT and protected from","chapter-1","Data Structures and Algorithms"
"outside access, a concept referred to as encapsulation.","chapter-1","Data Structures and Algorithms"
"A data structure is the implementation for an ADT. In an object-oriented lan-","chapter-1","Data Structures and Algorithms"
"guage such as Java, an ADT and its implementation together make up a class.","chapter-1","Data Structures and Algorithms"
"Each operation associated with the ADT is implemented by a member function or","chapter-1","Data Structures and Algorithms"
"method. The variables that define the space required by a data item are referred","chapter-1","Data Structures and Algorithms"
"to as data members. An object is an instance of a class, that is, something that is","chapter-1","Data Structures and Algorithms"
"created and takes up storage during the execution of a computer program.","chapter-1","Data Structures and Algorithms"
"The term “data structure” often refers to data stored in a computer’s main mem-","chapter-1","Data Structures and Algorithms"
"ory. The related term file structure often refers to the organization of data on","chapter-1","Data Structures and Algorithms"
"peripheral storage, such as a disk drive or CD.","chapter-1","Data Structures and Algorithms"
"Example 1.3 The mathematical concept of an integer, along with opera-","chapter-1","Data Structures and Algorithms"
"tions that manipulate integers, form a data type. The Java int variable type","chapter-1","Data Structures and Algorithms"
"is a physical representation of the abstract integer. The int variable type,","chapter-1","Data Structures and Algorithms"
"along with the operations that act on an int variable, form an ADT. Un-","chapter-1","Data Structures and Algorithms"
"fortunately, the int implementation is not completely true to the abstract","chapter-1","Data Structures and Algorithms"
"integer, as there are limitations on the range of values an int variable can","chapter-1","Data Structures and Algorithms"
"store. If these limitations prove unacceptable, then some other represen-","chapter-1","Data Structures and Algorithms"
"tation for the ADT “integer” must be devised, and a new implementation","chapter-1","Data Structures and Algorithms"
"must be used for the associated operations.","chapter-1","Data Structures and Algorithms"
"Example 1.4 An ADT for a list of integers might specify the following","chapter-1","Data Structures and Algorithms"
"operations:","chapter-1","Data Structures and Algorithms"
"• Insert a new integer at a particular position in the list.","chapter-1","Data Structures and Algorithms"
"• Return true if the list is empty.","chapter-1","Data Structures and Algorithms"
"• Reinitialize the list.","chapter-1","Data Structures and Algorithms"
"• Return the number of integers currently in the list.","chapter-1","Data Structures and Algorithms"
"• Delete the integer at a particular position in the list.","chapter-1","Data Structures and Algorithms"
"From this description, the input and output of each operation should be","chapter-1","Data Structures and Algorithms"
"clear, but the implementation for lists has not been specified.","chapter-1","Data Structures and Algorithms"
"10 Chap. 1 Data Structures and Algorithms","chapter-1","Data Structures and Algorithms"
"One application that makes use of some ADT might use particular member","chapter-1","Data Structures and Algorithms"
"functions of that ADT more than a second application, or the two applications might","chapter-1","Data Structures and Algorithms"
"have different time requirements for the various operations. These differences in the","chapter-1","Data Structures and Algorithms"
"requirements of applications are the reason why a given ADT might be supported","chapter-1","Data Structures and Algorithms"
"by more than one implementation.","chapter-1","Data Structures and Algorithms"
"Example 1.5 Two popular implementations for large disk-based database","chapter-1","Data Structures and Algorithms"
"applications are hashing (Section 9.4) and the B+-tree (Section 10.5). Both","chapter-1","Data Structures and Algorithms"
"support efficient insertion and deletion of records, and both support exact-","chapter-1","Data Structures and Algorithms"
"match queries. However, hashing is more efficient than the B+-tree for","chapter-1","Data Structures and Algorithms"
"exact-match queries. On the other hand, the B+-tree can perform range","chapter-1","Data Structures and Algorithms"
"queries efficiently, while hashing is hopelessly inefficient for range queries.","chapter-1","Data Structures and Algorithms"
"Thus, if the database application limits searches to exact-match queries,","chapter-1","Data Structures and Algorithms"
"hashing is preferred. On the other hand, if the application requires support","chapter-1","Data Structures and Algorithms"
"for range queries, the B+-tree is preferred. Despite these performance is-","chapter-1","Data Structures and Algorithms"
"sues, both implementations solve versions of the same problem: updating","chapter-1","Data Structures and Algorithms"
"and searching a large collection of records.","chapter-1","Data Structures and Algorithms"
"The concept of an ADT can help us to focus on key issues even in non-comp-","chapter-1","Data Structures and Algorithms"
"uting applications.","chapter-1","Data Structures and Algorithms"
"Example 1.6 When operating a car, the primary activities are steering,","chapter-1","Data Structures and Algorithms"
"accelerating, and braking. On nearly all passenger cars, you steer by turn-","chapter-1","Data Structures and Algorithms"
"ing the steering wheel, accelerate by pushing the gas pedal, and brake by","chapter-1","Data Structures and Algorithms"
"pushing the brake pedal. This design for cars can be viewed as an ADT","chapter-1","Data Structures and Algorithms"
"with operations “steer,” “accelerate,” and “brake.” Two cars might imple-","chapter-1","Data Structures and Algorithms"
"ment these operations in radically different ways, say with different types","chapter-1","Data Structures and Algorithms"
"of engine, or front- versus rear-wheel drive. Yet, most drivers can oper-","chapter-1","Data Structures and Algorithms"
"ate many different cars because the ADT presents a uniform method of","chapter-1","Data Structures and Algorithms"
"operation that does not require the driver to understand the specifics of any","chapter-1","Data Structures and Algorithms"
"particular engine or drive design. These differences are deliberately hidden.","chapter-1","Data Structures and Algorithms"
"The concept of an ADT is one instance of an important principle that must be","chapter-1","Data Structures and Algorithms"
"understood by any successful computer scientist: managing complexity through","chapter-1","Data Structures and Algorithms"
"abstraction. A central theme of computer science is complexity and techniques","chapter-1","Data Structures and Algorithms"
"for handling it. Humans deal with complexity by assigning a label to an assembly","chapter-1","Data Structures and Algorithms"
"of objects or concepts and then manipulating the label in place of the assembly.","chapter-1","Data Structures and Algorithms"
"Cognitive psychologists call such a label a metaphor. A particular label might be","chapter-1","Data Structures and Algorithms"
"related to other pieces of information or other labels. This collection can in turn be","chapter-1","Data Structures and Algorithms"
"given a label, forming a hierarchy of concepts and labels. This hierarchy of labels","chapter-1","Data Structures and Algorithms"
"allows us to focus on important issues while ignoring unnecessary details.","chapter-1","Data Structures and Algorithms"
"Sec. 1.2 Abstract Data Types and Data Structures 11","chapter-1","Data Structures and Algorithms"
"Example 1.7 We apply the label “hard drive” to a collection of hardware","chapter-1","Data Structures and Algorithms"
"that manipulates data on a particular type of storage device, and we ap-","chapter-1","Data Structures and Algorithms"
"ply the label “CPU” to the hardware that controls execution of computer","chapter-1","Data Structures and Algorithms"
"instructions. These and other labels are gathered together under the label","chapter-1","Data Structures and Algorithms"
"“computer.” Because even the smallest home computers today have mil-","chapter-1","Data Structures and Algorithms"
"lions of components, some form of abstraction is necessary to comprehend","chapter-1","Data Structures and Algorithms"
"how a computer operates.","chapter-1","Data Structures and Algorithms"
"Consider how you might go about the process of designing a complex computer","chapter-1","Data Structures and Algorithms"
"program that implements and manipulates an ADT. The ADT is implemented in","chapter-1","Data Structures and Algorithms"
"one part of the program by a particular data structure. While designing those parts","chapter-1","Data Structures and Algorithms"
"of the program that use the ADT, you can think in terms of operations on the data","chapter-1","Data Structures and Algorithms"
"type without concern for the data structure’s implementation. Without this ability","chapter-1","Data Structures and Algorithms"
"to simplify your thinking about a complex program, you would have no hope of","chapter-1","Data Structures and Algorithms"
"understanding or implementing it.","chapter-1","Data Structures and Algorithms"
"Example 1.8 Consider the design for a relatively simple database system","chapter-1","Data Structures and Algorithms"
"stored on disk. Typically, records on disk in such a program are accessed","chapter-1","Data Structures and Algorithms"
"through a buffer pool (see Section 8.3) rather than directly. Variable length","chapter-1","Data Structures and Algorithms"
"records might use a memory manager (see Section 12.3) to find an appro-","chapter-1","Data Structures and Algorithms"
"priate location within the disk file to place the record. Multiple index struc-","chapter-1","Data Structures and Algorithms"
"tures (see Chapter 10) will typically be used to access records in various","chapter-1","Data Structures and Algorithms"
"ways. Thus, we have a chain of classes, each with its own responsibili-","chapter-1","Data Structures and Algorithms"
"ties and access privileges. A database query from a user is implemented","chapter-1","Data Structures and Algorithms"
"by searching an index structure. This index requests access to the record","chapter-1","Data Structures and Algorithms"
"by means of a request to the buffer pool. If a record is being inserted or","chapter-1","Data Structures and Algorithms"
"deleted, such a request goes through the memory manager, which in turn","chapter-1","Data Structures and Algorithms"
"interacts with the buffer pool to gain access to the disk file. A program such","chapter-1","Data Structures and Algorithms"
"as this is far too complex for nearly any human programmer to keep all of","chapter-1","Data Structures and Algorithms"
"the details in his or her head at once. The only way to design and imple-","chapter-1","Data Structures and Algorithms"
"ment such a program is through proper use of abstraction and metaphors.","chapter-1","Data Structures and Algorithms"
"In object-oriented programming, such abstraction is handled using classes.","chapter-1","Data Structures and Algorithms"
"Data types have both a logical and a physical form. The definition of the data","chapter-1","Data Structures and Algorithms"
"type in terms of an ADT is its logical form. The implementation of the data type as","chapter-1","Data Structures and Algorithms"
"a data structure is its physical form. Figure 1.1 illustrates this relationship between","chapter-1","Data Structures and Algorithms"
"logical and physical forms for data types. When you implement an ADT, you","chapter-1","Data Structures and Algorithms"
"are dealing with the physical form of the associated data type. When you use an","chapter-1","Data Structures and Algorithms"
"ADT elsewhere in your program, you are concerned with the associated data type’s","chapter-1","Data Structures and Algorithms"
"logical form. Some sections of this book focus on physical implementations for a","chapter-1","Data Structures and Algorithms"
"12 Chap. 1 Data Structures and Algorithms","chapter-1","Data Structures and Algorithms"
"Data Type","chapter-1","Data Structures and Algorithms"
"Data Structure:","chapter-1","Data Structures and Algorithms"
